STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-08,0.07,64
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-09,0,66
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-10,0.03,59
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-11,0,61
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-12,0,70
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-13,0,74
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-14,0,76
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-15,0.42,67
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-16,0.41,69
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-17,0.1,65
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-18,0,65
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-19,0.05,59
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-20,0.28,56
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-21,0,59
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-22,0,69
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-23,0.03,68
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-24,0,69
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-25,0.82,56
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-26,0.17,59
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-27,0,67
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-28,0,72
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-29,0.02,66
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-30,0.09,70
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-10-01,0.13,62
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-10-02,0.03,60
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-10-03,0,66
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-10-04,0,73
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-10-05,0.18,64
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-10-06,0,71
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-10-07,0,62
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-10-08,0.06,66
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-10-09,0,72
