raceId,driverId,CompletionStatus,alt,grid,trackType,average_lap_time,minimum_lap_time,year,PRCP,TAVG,isHistoric,oneHot_circuits_1,oneHot_circuits_2,oneHot_circuits_3,oneHot_circuits_4,oneHot_circuits_5,oneHot_circuits_6,alt_trans,PRCP_trans,normalized_minLapTime,normalized_avgLapTime
981,826,1,162,8,0,87730.63461538461,85894,2017,0.0,71.0,1,1,0,0,0,0,0,5.135798437050262,0.0,1.0060012930186362,0.002562919583811223
981,828,0,162,11,0,90014.71428571429,87663,2017,0.0,71.0,1,1,0,0,0,0,0,5.135798437050262,0.0,1.0267200427258332,0.02826491876719923
981,830,1,162,13,0,87513.03846153848,84351,2017,0.0,71.0,1,1,0,0,0,0,0,5.135798437050262,0.0,0.9879294836358185,7.956298835812434e-05
981,832,1,162,15,0,87802.46153846152,86210,2017,0.0,71.0,1,1,0,0,0,0,0,5.135798437050262,0.0,1.0097023246226353,0.0033813057304649713
981,835,0,162,17,0,89401.41379310346,85752,2017,0.0,71.0,1,1,0,0,0,0,0,5.135798437050262,0.0,1.0043381712219026,0.021428266031768374
981,836,1,162,12,0,89055.01960784312,86547,2017,0.0,71.0,1,1,0,0,0,0,0,5.135798437050262,0.0,1.0136493108585456,0.017546146304316706
981,838,0,162,18,0,88479.93939393939,86912,2017,0.0,71.0,1,1,0,0,0,0,0,5.135798437050262,0.0,1.017924236603671,0.011067622541563606
981,839,1,162,3,0,86864.90566037736,85652,2017,0.0,71.0,1,1,0,0,0,0,0,5.135798437050262,0.0,1.0031669586889915,-0.007354126966640676
981,840,1,162,2,0,86914.49056603774,85625,2017,0.0,71.0,1,1,0,0,0,0,0,5.135798437050262,0.0,1.0028507313051054,-0.00678346199619245
982,1,1,18,5,1,127647.31034482758,105008,2017,0.0,83.0,0,0,0,0,1,0,0,3.258096538021482,0.0,0.9956268236908814,-0.04392443522937538
982,4,0,18,8,1,164392.375,133579,2017,0.0,83.0,0,0,0,0,1,0,0,3.258096538021482,0.0,0.9956268236908814,0.20906059261879623
