Track,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-10,0,",,E",,,71,"H,,S",80,",,E",61,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-11,0,",,E",,,67,"H,,S",77,",,E",60,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-12,0.04,",,E",,,63,"H,,S",71,",,E",57,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-13,0,",,E",,,63,"H,,S",69,",,E",58,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-14,0.01,",,E",,,64,"H,,S",77,",,E",53,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-15,0,",,E",,,65,"H,,S",71,",,E",60,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-16,0.14,",,E",,,63,"H,,S",67,",,E",60,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-17,0.54,",,E",,,65,"H,,S",74,",,E",58,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-18,0,",,E",,,66,"H,,S",76,",,E",57,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-19,0.03,",,E",,,63,"H,,S",74,",,E",55,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-20,0,",,E",,,66,"H,,S",74,",,E",60,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-21,0,",,E",,,67,"H,,S",76,",,E",59,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-22,0,",,E",,,66,"H,,S",76,",,E",56,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-23,0.01,",,E",,,67,"H,,S",76,",,E",57,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-24,0,",,E",,,69,"H,,S",79,",,E",64,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-25,1.29,",,E",,,67,"H,,S",72,",,E",63,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-26,0.02,",,E",,,71,"H,,S",82,",,E",61,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-27,0.08,",,E",,,75,"H,,S",84,",,E",67,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-28,0.63,",,E",,,67,"H,,S",73,",,E",61,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-29,0.15,",,E",,,64,"H,,S",69,",,E",59,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-30,0,",,E",,,67,"H,,S",74,",,E",62,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-05-31,0,",,E",,,67,"H,,S",77,",,E",59,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-06-01,0.68,",,E",,,68,"H,,S",77,",,E",63,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-06-02,0,",,E",,,67,"H,,S",73,",,E",62,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-06-03,0,",,E",,,68,"H,,S",77,",,E",58,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-06-04,0,",,E",,,69,"H,,S",77,",,E",63,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-06-05,0,",,E",,,67,"H,,S",73,",,E",62,",,E"
